,,,sentiment_count,sentiment_count,sentiment_count,prop_sentiments,prop_sentiments,prop_sentiments
kword_sent_cat,,,neg,neu,pos,neg,neu,pos
fortnight_starting,fortnight_to_lockdown,,,,,,,
2020-01-27,-4,behav_change,0,0,0,,,
2020-02-10,-3,behav_change,0,0,0,,,
2020-02-24,-2,behav_change,0,0,0,,,
2020-03-09,-1,behav_change,0,4,1,0.0,0.8,0.2
2020-03-23,0,behav_change,0,10,1,0.0,0.91,0.09
2020-04-06,1,behav_change,0,3,0,0.0,1.0,0.0
2020-04-20,2,behav_change,0,6,0,0.0,1.0,0.0
2020-05-04,3,behav_change,0,8,0,0.0,1.0,0.0
2020-05-18,4,behav_change,0,3,0,0.0,1.0,0.0
2020-06-01,5,behav_change,0,4,0,0.0,1.0,0.0
2020-06-15,6,behav_change,0,1,0,0.0,1.0,0.0
2020-06-29,7,behav_change,0,4,0,0.0,1.0,0.0
2020-01-27,-4,behav_econ,1,0,0,1.0,0.0,0.0
2020-02-10,-3,behav_econ,0,1,1,0.0,0.5,0.5
2020-02-24,-2,behav_econ,1,0,0,1.0,0.0,0.0
2020-03-09,-1,behav_econ,0,3,0,0.0,1.0,0.0
2020-03-23,0,behav_econ,1,4,1,0.17,0.67,0.17
2020-04-06,1,behav_econ,0,6,0,0.0,1.0,0.0
2020-04-20,2,behav_econ,1,4,0,0.2,0.8,0.0
2020-05-04,3,behav_econ,0,2,2,0.0,0.5,0.5
2020-05-18,4,behav_econ,2,2,1,0.4,0.4,0.2
2020-06-01,5,behav_econ,0,0,0,,,
2020-06-15,6,behav_econ,1,0,0,1.0,0.0,0.0
2020-06-29,7,behav_econ,0,2,0,0.0,1.0,0.0
2020-01-27,-4,behav_insights_team,0,1,1,0.0,0.5,0.5
2020-02-10,-3,behav_insights_team,1,0,2,0.33,0.0,0.67
2020-02-24,-2,behav_insights_team,2,8,0,0.2,0.8,0.0
2020-03-09,-1,behav_insights_team,15,29,8,0.29,0.56,0.15
2020-03-23,0,behav_insights_team,1,9,9,0.05,0.47,0.47
2020-04-06,1,behav_insights_team,3,3,0,0.5,0.5,0.0
2020-04-20,2,behav_insights_team,3,13,0,0.19,0.81,0.0
2020-05-04,3,behav_insights_team,1,9,3,0.08,0.69,0.23
2020-05-18,4,behav_insights_team,0,4,0,0.0,1.0,0.0
2020-06-01,5,behav_insights_team,1,0,0,1.0,0.0,0.0
2020-06-15,6,behav_insights_team,0,7,1,0.0,0.88,0.12
2020-06-29,7,behav_insights_team,0,0,0,,,
2020-01-27,-4,behav_science,0,0,0,,,
2020-02-10,-3,behav_science,0,2,1,0.0,0.67,0.33
2020-02-24,-2,behav_science,3,6,7,0.19,0.38,0.44
2020-03-09,-1,behav_science,22,32,16,0.31,0.46,0.23
2020-03-23,0,behav_science,17,17,12,0.37,0.37,0.26
2020-04-06,1,behav_science,5,33,13,0.1,0.65,0.25
2020-04-20,2,behav_science,7,35,5,0.15,0.74,0.11
2020-05-04,3,behav_science,2,27,10,0.05,0.69,0.26
2020-05-18,4,behav_science,2,41,11,0.04,0.76,0.2
2020-06-01,5,behav_science,2,19,5,0.08,0.73,0.19
2020-06-15,6,behav_science,14,25,17,0.25,0.45,0.3
2020-06-29,7,behav_science,1,12,3,0.06,0.75,0.19
2020-01-27,-4,behav_scientist,0,3,0,0.0,1.0,0.0
2020-02-10,-3,behav_scientist,0,1,0,0.0,1.0,0.0
2020-02-24,-2,behav_scientist,0,1,0,0.0,1.0,0.0
2020-03-09,-1,behav_scientist,0,4,3,0.0,0.57,0.43
2020-03-23,0,behav_scientist,1,5,1,0.14,0.71,0.14
2020-04-06,1,behav_scientist,0,8,1,0.0,0.89,0.11
2020-04-20,2,behav_scientist,0,8,0,0.0,1.0,0.0
2020-05-04,3,behav_scientist,2,8,0,0.2,0.8,0.0
2020-05-18,4,behav_scientist,0,7,1,0.0,0.88,0.12
2020-06-01,5,behav_scientist,0,1,1,0.0,0.5,0.5
2020-06-15,6,behav_scientist,1,5,1,0.14,0.71,0.14
2020-06-29,7,behav_scientist,0,5,0,0.0,1.0,0.0
2020-01-27,-4,halpern,0,0,0,,,
2020-02-10,-3,halpern,0,0,0,,,
2020-02-24,-2,halpern,0,0,0,,,
2020-03-09,-1,halpern,10,24,2,0.28,0.67,0.06
2020-03-23,0,halpern,4,7,5,0.25,0.44,0.31
2020-04-06,1,halpern,0,3,0,0.0,1.0,0.0
2020-04-20,2,halpern,4,5,1,0.4,0.5,0.1
2020-05-04,3,halpern,0,7,0,0.0,1.0,0.0
2020-05-18,4,halpern,1,2,0,0.33,0.67,0.0
2020-06-01,5,halpern,0,0,0,,,
2020-06-15,6,halpern,4,1,3,0.5,0.12,0.38
2020-06-29,7,halpern,0,0,0,,,
2020-01-27,-4,michie,0,0,0,,,
2020-02-10,-3,michie,0,0,0,,,
2020-02-24,-2,michie,0,0,0,,,
2020-03-09,-1,michie,2,29,13,0.05,0.66,0.3
2020-03-23,0,michie,0,15,1,0.0,0.94,0.06
2020-04-06,1,michie,0,15,1,0.0,0.94,0.06
2020-04-20,2,michie,0,29,2,0.0,0.94,0.06
2020-05-04,3,michie,2,26,0,0.07,0.93,0.0
2020-05-18,4,michie,0,17,1,0.0,0.94,0.06
2020-06-01,5,michie,0,22,1,0.0,0.96,0.04
2020-06-15,6,michie,0,17,0,0.0,1.0,0.0
2020-06-29,7,michie,0,13,0,0.0,1.0,0.0
2020-01-27,-4,nudge,1,0,6,0.14,0.0,0.86
2020-02-10,-3,nudge,3,2,4,0.33,0.22,0.44
2020-02-24,-2,nudge,2,1,0,0.67,0.33,0.0
2020-03-09,-1,nudge,10,8,7,0.4,0.32,0.28
2020-03-23,0,nudge,10,0,5,0.67,0.0,0.33
2020-04-06,1,nudge,7,3,6,0.44,0.19,0.38
2020-04-20,2,nudge,9,6,3,0.5,0.33,0.17
2020-05-04,3,nudge,2,0,0,1.0,0.0,0.0
2020-05-18,4,nudge,1,3,4,0.12,0.38,0.5
2020-06-01,5,nudge,4,0,2,0.67,0.0,0.33
2020-06-15,6,nudge,1,2,0,0.33,0.67,0.0
2020-06-29,7,nudge,0,1,0,0.0,1.0,0.0
2020-01-27,-4,psychologist,0,0,0,,,
2020-02-10,-3,psychologist,0,1,1,0.0,0.5,0.5
2020-02-24,-2,psychologist,0,3,1,0.0,0.75,0.25
2020-03-09,-1,psychologist,0,8,0,0.0,1.0,0.0
2020-03-23,0,psychologist,0,5,1,0.0,0.83,0.17
2020-04-06,1,psychologist,0,7,1,0.0,0.88,0.12
2020-04-20,2,psychologist,0,9,1,0.0,0.9,0.1
2020-05-04,3,psychologist,0,8,0,0.0,1.0,0.0
2020-05-18,4,psychologist,0,8,0,0.0,1.0,0.0
2020-06-01,5,psychologist,0,4,0,0.0,1.0,0.0
2020-06-15,6,psychologist,0,6,1,0.0,0.86,0.14
2020-06-29,7,psychologist,0,7,0,0.0,1.0,0.0
2020-01-27,-4,psychology,0,1,0,0.0,1.0,0.0
2020-02-10,-3,psychology,0,0,0,,,
2020-02-24,-2,psychology,0,2,0,0.0,1.0,0.0
2020-03-09,-1,psychology,0,23,7,0.0,0.77,0.23
2020-03-23,0,psychology,1,5,5,0.09,0.45,0.45
2020-04-06,1,psychology,1,11,2,0.07,0.79,0.14
2020-04-20,2,psychology,3,19,0,0.14,0.86,0.0
2020-05-04,3,psychology,2,20,2,0.08,0.83,0.08
2020-05-18,4,psychology,0,24,5,0.0,0.83,0.17
2020-06-01,5,psychology,0,10,0,0.0,1.0,0.0
2020-06-15,6,psychology,0,12,5,0.0,0.71,0.29
2020-06-29,7,psychology,0,5,0,0.0,1.0,0.0
2020-01-27,-4,spi-b,0,0,0,,,
2020-02-10,-3,spi-b,0,0,0,,,
2020-02-24,-2,spi-b,0,0,0,,,
2020-03-09,-1,spi-b,0,4,0,0.0,1.0,0.0
2020-03-23,0,spi-b,1,0,1,0.5,0.0,0.5
2020-04-06,1,spi-b,0,2,1,0.0,0.67,0.33
2020-04-20,2,spi-b,0,16,0,0.0,1.0,0.0
2020-05-04,3,spi-b,4,58,8,0.06,0.83,0.11
2020-05-18,4,spi-b,0,37,6,0.0,0.86,0.14
2020-06-01,5,spi-b,0,10,2,0.0,0.83,0.17
2020-06-15,6,spi-b,0,7,0,0.0,1.0,0.0
2020-06-29,7,spi-b,0,9,0,0.0,1.0,0.0
