fortnight_starting,word_count,american_behav_scientists,behav_analysis,behav_change,behav_econ,behav_insight,behav_insights_team,behav_science,behav_scientist,behavioural_economist,behavioural_fatigue,chater,halpern,herd_immunity,michie,nudge,psychologist,psychology,spi-b
2020-01-27,2316,1,0,0,1,0,2,0,3,0,0,0,0,0,0,7,0,1,0
2020-02-10,2818,6,0,0,2,1,3,3,1,0,0,0,0,0,0,9,2,0,0
2020-02-24,5884,6,1,0,1,0,10,16,1,0,0,0,0,0,0,3,4,2,0
2020-03-09,33013,6,0,5,3,1,52,70,7,1,5,1,36,147,44,25,8,30,4
2020-03-23,17243,6,1,11,6,3,19,46,7,0,2,0,16,52,16,15,6,11,2
2020-04-06,14444,6,2,3,6,2,6,51,9,0,5,0,3,43,16,16,8,14,3
2020-04-20,22427,10,0,6,5,3,16,47,8,2,4,1,10,39,31,18,10,22,16
2020-05-04,25491,3,4,8,4,0,13,39,10,3,0,0,7,22,28,2,8,24,70
2020-05-18,26671,4,1,3,5,6,4,54,8,2,0,0,3,23,18,8,8,29,43
2020-06-01,12678,0,0,4,0,0,1,26,2,0,0,0,0,4,23,6,4,10,12
2020-06-15,10328,6,0,1,1,2,8,56,7,0,4,0,8,7,17,3,7,17,7
2020-06-29,10355,2,0,4,2,0,0,16,5,0,0,0,0,6,13,1,7,5,9
